"nom_ministro","total_decs"
"MIN. MARCO AURÉLIO","168505"
"MIN. CELSO DE MELLO","115630"
"MIN. SEPÚLVEDA PERTENCE","90680"
"MIN. AYRES BRITTO","81777"
"MIN. ELLEN GRACIE","81530"
"MIN. GILMAR MENDES","79212"
"MIN. JOAQUIM BARBOSA","76330"
"MIN. CARLOS VELLOSO","73007"
"MIN. CEZAR PELUSO","71512"
"MIN. NELSON JOBIM","71276"
"MIN. EROS GRAU","67945"
"MIN. MAURÍCIO CORRÊA","62535"
"MIN. CÁRMEN LÚCIA","57932"
"MIN. RICARDO LEWANDOWSKI","56425"
"MIN. SYDNEY SANCHES","47814"
"MIN. ILMAR GALVÃO","43983"
"MIN. MOREIRA ALVES","40420"
"MINISTRO PRESIDENTE","40185"
"MIN. NÉRI DA SILVEIRA","37772"
"MIN. OCTAVIO GALLOTTI","19054"
"MIN. DIAS TOFFOLI","16104"
"MIN. MENEZES DIREITO","13189"
"MIN. LUIZ FUX","2050"
"MIN. FRANCISCO REZEK","1862"
"VICE-PRESIDENTE","24"
